ASVs	bremen	brake	bremerhaven	helgolandT	helgolandS
ASV_2277	0.00	0.17	0.00	0.00	0.00
ASV_2278	0.00	0.00	0.17	0.00	0.00
ASV_2279	0.00	0.00	0.00	0.00	1.00
ASV_2286	0.00	0.17	0.00	0.00	0.00
ASV_2304	0.00	0.17	0.00	0.00	0.00
ASV_2305	0.00	0.00	0.00	0.00	0.00
ASV_2314	0.00	0.00	0.33	0.00	0.00
ASV_2316	0.00	0.00	0.00	0.17	0.00
ASV_2321	0.00	0.00	0.00	0.67	1.00
ASV_2322	0.00	0.00	0.00	0.33	0.00
ASV_2324	1.17	1.83	0.00	0.00	0.00
ASV_2326	0.00	0.17	0.00	0.00	0.00
ASV_2327	0.50	0.00	0.50	0.00	0.00
ASV_2333	0.33	2.17	0.00	0.00	0.00
ASV_2336	0.00	1.33	0.00	0.00	0.00
ASV_2346	0.00	0.17	0.00	0.00	0.00
ASV_2347	0.00	0.00	0.00	0.17	0.00
ASV_2358	1.17	0.00	6.17	10.67	3.00
ASV_2368	0.00	0.00	0.17	0.00	0.00
ASV_2375	0.33	0.83	0.00	0.00	0.00
ASV_2380	0.00	0.00	0.00	0.33	0.00
ASV_2383	0.00	0.00	0.00	0.33	0.00
ASV_2396	4.00	1.17	0.00	0.00	0.00
ASV_2403	0.00	0.00	0.17	0.00	0.00
ASV_2431	0.00	0.00	0.00	0.00	1.00
ASV_2433	0.00	0.00	0.00	0.00	3.00
ASV_2441	1.67	3.33	0.50	0.00	0.00
ASV_2445	0.00	0.00	0.83	3.67	0.00
ASV_2460	0.00	0.00	0.00	0.00	3.00
ASV_2467	3.67	6.50	0.17	0.00	0.00
ASV_2469	0.00	0.00	0.00	0.00	1.00
ASV_2481	0.00	0.00	0.00	0.00	0.00
ASV_2484	0.00	0.00	0.83	8.00	0.00
ASV_2490	1.67	1.17	0.00	0.00	0.00
ASV_2496	12.50	16.83	1.00	0.00	0.00
ASV_2513	21.33	38.67	2.83	0.00	0.00
ASV_2533	0.00	0.00	0.00	0.17	0.00
ASV_2536	0.00	0.00	0.00	1.33	0.00
