ASVs	bremen	brake	bremerhaven	helgolandT	helgolandS
ASV_1756	0.0	0.0	0.0	0.7	0.3
ASV_1759	0.0	0.0	0.0	0.3	0.0
ASV_1763	0.7	0.7	1.3	0.0	0.0
ASV_1766	0.0	0.0	0.0	33.0	0.0
ASV_1770	4.7	2.0	4.0	0.0	0.0
ASV_1775	0.0	0.0	0.0	0.7	0.0
ASV_1778	0.0	0.0	0.0	0.0	0.3
ASV_1786	0.0	0.3	0.0	0.0	0.0
ASV_1788	0.0	0.0	0.0	0.0	0.3
ASV_1791	0.0	0.3	0.0	0.0	0.0
ASV_1797	0.0	0.3	0.0	0.0	0.0
ASV_1798	0.0	0.0	0.0	0.3	0.0
ASV_1813	0.0	0.0	0.3	0.0	0.0
ASV_1814	0.0	0.0	0.0	0.0	0.7
ASV_1816	0.0	0.0	0.0	0.7	0.3
ASV_1817	0.0	0.0	0.0	1.3	0.3
ASV_1822	0.0	0.0	0.0	13.7	1.0
ASV_1827	0.0	0.0	0.0	1.0	0.0
ASV_1834	0.0	0.0	0.0	0.0	0.3
ASV_1849	0.7	0.0	0.0	0.0	0.0
ASV_1853	0.7	0.0	0.0	0.0	0.0
ASV_1859	0.0	0.0	0.0	0.0	1.0
ASV_1862	0.0	0.0	0.0	0.0	0.3
ASV_1881	0.0	0.0	0.0	1.3	0.0
ASV_1887	0.0	0.0	0.0	1.0	0.3
ASV_1895	10.7	4.3	3.7	0.0	0.0
ASV_1897	3.7	0.3	0.0	0.0	0.0
ASV_1901	1.3	1.3	1.3	0.0	0.0
ASV_1903	0.0	0.0	0.0	0.0	0.3
ASV_1905	0.7	0.0	0.0	0.0	0.0
ASV_1910	0.0	0.0	0.0	0.0	0.3
ASV_1913	0.0	0.0	0.0	0.0	0.3
ASV_1915	0.0	0.0	0.3	0.0	0.0
ASV_1923	0.0	0.0	0.7	0.0	0.0
ASV_1929	0.0	0.0	0.0	0.0	0.3
ASV_1935	3.7	0.0	0.0	0.0	0.0
ASV_1944	0.0	0.3	0.0	0.0	0.0
ASV_1952	0.0	0.0	0.0	0.0	0.3
ASV_1955	0.7	0.0	0.0	0.0	0.0
ASV_1956	0.0	0.0	0.0	0.7	0.3
ASV_1957	0.3	0.0	0.0	0.0	0.0
ASV_1960	1.3	8.7	3.7	0.0	0.0
ASV_1962	4.0	1.0	1.7	0.0	0.0
ASV_1967	0.0	0.0	0.0	0.3	0.0
ASV_1974	0.7	0.0	0.7	0.0	0.0
ASV_1977	0.0	0.3	0.0	0.0	0.0
ASV_1981	0.0	0.0	0.0	0.0	0.3
ASV_1985	0.0	0.0	0.0	0.0	0.7
ASV_1987	0.0	0.0	1.7	0.0	0.0
ASV_1995	9.7	7.7	0.0	0.0	0.0
ASV_1997	0.0	0.0	0.0	0.0	1.0
ASV_1998	0.0	0.0	0.0	0.7	0.0
ASV_2005	6.0	23.0	7.0	0.0	0.0
ASV_2009	0.0	0.0	0.0	0.0	0.3
ASV_2012	0.0	0.0	0.0	0.3	0.0
ASV_2020	0.0	0.0	0.0	1.0	0.0
ASV_2023	1.7	0.0	0.0	0.0	0.0
ASV_2025	0.7	0.3	0.0	0.0	0.0
ASV_2027	0.3	0.3	0.3	0.0	0.0
ASV_2028	0.0	0.0	0.0	8.7	0.3
ASV_2038	3.0	4.0	0.0	0.0	0.0
ASV_2041	0.0	0.0	0.0	12.7	1.0
ASV_2047	0.0	0.0	0.0	1.3	0.0
ASV_2049	0.0	0.0	0.0	0.7	0.0
ASV_2054	0.0	1.3	5.7	0.3	0.0
ASV_2055	0.0	0.0	0.0	1.7	0.0
ASV_2058	0.0	0.0	0.0	0.3	0.0
ASV_2067	1.3	1.0	0.0	0.0	0.0
ASV_2071	0.0	0.0	0.0	0.0	0.3
ASV_2074	0.3	0.0	0.0	0.0	0.0
ASV_2075	0.7	0.0	0.3	0.0	0.0
ASV_2080	0.0	0.0	0.0	0.0	0.3
ASV_2092	0.3	0.0	0.0	0.0	0.0
ASV_2100	0.0	0.0	0.0	0.3	1.0
ASV_2108	0.0	0.3	0.0	0.0	0.0
ASV_2113	0.3	0.7	0.0	0.0	0.0
ASV_2118	1.0	1.7	0.7	0.0	0.0
ASV_2123	4.3	8.0	9.7	0.0	0.0
ASV_2128	0.0	0.0	0.3	0.0	0.0
ASV_2129	0.0	0.0	0.0	0.0	0.3
ASV_2130	2.7	9.3	2.7	0.0	0.0
ASV_2131	0.0	0.0	0.0	0.0	0.3
ASV_2134	0.3	0.0	0.0	0.0	0.0
ASV_2140	0.0	0.0	0.3	0.0	0.0
ASV_2144	0.3	0.0	0.0	0.0	0.0
ASV_2151	7.0	4.3	3.0	0.0	0.0
ASV_2154	0.0	0.3	0.0	0.0	0.0
ASV_2166	0.0	0.0	0.0	0.3	0.0
ASV_2167	0.0	0.3	0.0	0.0	0.0
ASV_2174	0.0	0.3	0.0	0.0	0.0
ASV_2176	0.0	0.0	0.0	0.3	0.0
ASV_2179	0.0	0.0	0.0	0.0	1.0
ASV_2181	0.0	0.0	0.0	0.0	1.0
ASV_2183	0.0	0.0	0.0	0.7	0.0
ASV_2186	0.0	0.0	0.0	16.0	0.0
ASV_2191	0.0	0.0	0.0	0.7	0.7
ASV_2193	0.0	0.0	0.0	0.3	0.0
ASV_2194	0.0	0.0	0.0	3.3	0.3
ASV_2198	0.0	0.0	0.3	0.0	0.0
ASV_2203	2.7	0.0	0.0	0.0	0.0
ASV_2206	0.0	0.7	0.0	0.0	0.0
ASV_2207	0.0	0.0	0.0	0.3	0.0
ASV_2216	0.0	0.0	0.0	0.0	0.7
ASV_2217	0.0	0.3	0.0	0.0	0.0
ASV_2221	0.0	0.0	0.0	0.0	0.3
ASV_2227	0.0	0.0	0.0	0.0	0.3
ASV_2229	0.0	0.3	0.0	0.0	0.0
ASV_2230	0.0	0.3	0.0	0.0	0.0
ASV_2233	0.0	0.0	0.0	0.0	1.0
ASV_2234	0.0	0.0	0.0	0.7	0.0
ASV_2235	0.0	0.0	0.0	0.3	0.0
ASV_2241	0.0	0.0	0.0	1.3	0.0
ASV_2247	0.0	0.0	1.7	0.0	0.0
ASV_2249	0.0	0.0	0.0	3.7	1.0
ASV_2250	0.0	0.0	0.0	0.0	0.7
ASV_2257	0.0	0.0	0.0	0.3	0.0
